10099,173-P2,404
10100,531,430
10101,779,402
10102,221,X-180
10103,334,191
10104,D-222,404
10105,235,241
10106,336-P2,430
10107,95,368
10108,204,430
10109,784,444
10110,94,20
10111,1,20
10112,58-P2,430
10113,D-222,430
10114,334,402
10115,204,20
10116,301,402
10118,221,368
10119,10,158
10120,336-P2,404
10121,527,243
10122,94,20
10123,336-P2,430
10124,221,M5
10125,235,87
10126,D-222,421
10127,173,430
10128,214,421
10129,344,430
10130,334,430
10131,243,430
10132,235,87
10134,1,158
10135,221,329
10136,95,421
10137,22-P2,402
10138,204,430
10139,779,243
10140,mum.1,402
10141,173-P2,402
10142,88,20
10143,784,20
10144,94,20
10145,340,430
10146,221,M3
10147,301,368
10148,243,329
10149,344,281
10150,784,191
10151,243,158
10152,779,191
10153,322,430
10154,344,191
10155,430,426
10156,235,266
10157,94,430
10158,243,281
10159,336-P2,20
10160,340,126
10161,2-P2,421
10162,527,421
10163,784,158
10164,340,126
10165,235,191
10166,301,87
10167,58-P2,426
10168,336-P2,158
10169,344,421
10170,204,402
10171,214,421
10172,221,421
10173,173-P2,430
10174,94,368
10175,779,430
10176,10,87
10177,784,241
10178,243,281
10179,784,158
10180,344,87
10181,1,430
10182,779,87
10183,334,87
10184,334,426
10185,322,20
10186,221,421
10187,88,266
10188,22-P2,191
10189,264,M4.2
10190,95,368
10191,D-222,191
10192,173-P2,191
10193,301,87
10194,10,430
10195,235,430
10196,214,392
10197,322,404
10198,1,404
10199,527,158
10200,D-222,430
10201,334,329
10202,243,430
10203,173-P2,402
10204,204,121
10205,94,392
10206,336-P2,430
10207,264,411
10208,531,158
10209,344,87
10210,1,87
10211,336-P2,87
10212,D-222,404
10213,531,421
10214,243,430
10215,344,426
10216,204,158
10217,235,430
10218,344,368
10219,58-P2,426
10220,322,281
10221,1,158
10222,2-P2,329
10223,336-P2,444
10224,214,430
10225,784,426
10226,94,191
10227,527,430
10228,340,158
10229,235,444
10230,322,20
10231,88,421
10232,10,426
10233,334,191
10234,1,404
10235,94,20
10236,784,191
10237,0,158
10238,0,158
10239,0,421
10240,334,87
10241,779,158
10242,94,158
10243,95,426
10245,58-P2,20
10246,10,402
10247,235,87
10248,58-P2,430
10249,95,430
10250,527,329
10251,235,336-P2
10252,340,402
10253,D-222,164
10254,2-P2,329
10255,58-P2,329
10256,88,444
10257,235,87
10258,173,121
10259,340,243
10260,784,329
10261,22-P2,329
10262,301,368
10263,264,0
10264,2-P2,421
10265,88,430
10266,221,402
10267,340,402
10268,527,421
10269,88,430
10270,221,430
10271,173-P2,191
10272,344,421
10273,1,430
10274,221,329
10275,334,368
10276,204,368
10277,243,421
10278,2-P2,M6
10279,336-P2,20
10280,58-P2,402
10281,301,191
10282,344,20
10283,94,X-180
10284,322,87
10285,235,368
10286,58-P2,158
10287,88,158
10288,10,87
10289,779,368
10290,22-P2,402
10291,322,243
10292,301,0
10293,214,430
10294,D-222,87
10295,214,87
10296,527,87
10297,173-P2,281
10298,88,329
10299,334,329
10300,322,241
10301,94,X-180
10302,779,164
10303,204,126
10304,10,421
