tree,asite,site,ROW,COL,REP,SET,mum,dad,selection_type,rot,pith_year,pith_age,clb15,ht15,dbh15,heartwood,sapwood,sapwood_heartwood_ratio,cath,cbth,csab,cmyr,clim,cmono,cathprop,csabprop,fibre,cell,lignin,fath,fbth,fsab,fmyr,flim,fmono,fathprop,fsabprop,capi,cthu,fapi,fthu,clb15,plicatic_acid,gamma_thujaplicin,beta_thujaplicin,beta_thujaplicinol,thujic_acid,methyl_thujate,alpha_thujaplicin,plicatic_acid_PAR_CW,gamma_thujaplicin_PAR_CW,beta_thujaplicin_PAR_CW,beta_thujaplicinol_PAR_CW,thujic_acid_PAR_CW,methyl_thujate_PAR_CW,alpha_thujaplicin_PAR_CW,A,B,C,D,E,F,G,H,I,nezukone,thujaplicatin_methyl_ether,beta_dolabrin,thujaplicins,thujaplicins_PAR_CW,lignans_PAR_CW,Fhat3,HT_BLUP
10021,EAST,1,27,36,17,6,235,243,HTWD,0,2001,16,2,660,87,33.506,18.171,0.542320778,30715,6603,1917.6,1541.8,520.5,47037,0.652996577,0.040767906,57.95,16.81,40.98,14883,2704,638,56,83,21546,0.690754664,0.029611065,1137,224,157.8322,18.05707,2,0,365.9,224.7,108,4156.6,0,511.4,0,15.37,7.41,1.28,18.73,0,19.46,1.92,3.05,3.44,10.8,1.38,7.71,8.15,0,22.96,19.75,12.18,0.68,1210,44.2,21.6,0.153372,-42.83129317
10022,EAST,1,28,35,17,6,336,158,HTWD,0,2001,16,2,610,70,34.281,6.71,0.195735247,30891,8825,3201.7,1594.9,722.8,54750,0.564219178,0.058478539,56.83,22.29,34.22,13539,2259,1025,40,115,19930,0.679327647,0.051430005,1506,213.5,170.48797,28.45086,2,651.4,1344.5,165.8,85.5,2727.8,20,290.6,2.4,51.09,5.76,0.96,12.26,0.09,10.45,2.65,21.89,3.72,15.03,2.4,49.41,4.07,0.67,13.99,150.59,9.98,1.26,1886.4,69.52,88.70171781,0.257447,1.590174254
10023,EAST,1,29,33,7,2,322,0,HTWD,0,2000,17,2,690,105,48.567,23.01,0.473778492,32865,8408,3936.6,2514.7,724.2,58364,0.563103968,0.067449112,54.23,17.39,36.72,19471,2319,3023,674,213,29996,0.649119883,0.100780104,1590,407.6,487.12082,131.01301,2,0,914.3,648.9,263.4,2715,0,960.1,0,34.62,20.11,3.35,12.23,0,37.27,2.91,9.76,6.93,14.36,1.58,15.47,5.58,0.27,8.93,28.62,2.73,0,2786.7,95.35,39.7,0.16836,-10.15529024
10024,EAST,1,29,34,7,2,88,191,HTWD,0,2002,15,2,850,128,48.3019553,22.518,0.466192308,26044,8615,3121.1,2575.5,700.4,48293,0.539291409,0.064628414,50.66,19.12,31.29,13945,2234,770,103,101,19919,0.700085346,0.038656559,1571,331.9,200.02208,26.75455,2,0,660.8,429.4,55.4,3820.2,0,784.5,0,25.84,13.56,0.61,17.22,0,30.36,3.01,4.1,2.75,3.77,0.59,12.3,2.18,0,7.18,38.66,3.36,0.77,1930.1,71.14,20.2,0.132399,-1.703997081
10025,EAST,1,31,33,7,2,784,392,VOL,0,2000,17,2,900,132,77.962,15.113,0.19385085,19866,4328,2731.2,2253.4,577.6,37559,0.52892782,0.072717591,54.99,12.94,41.83,16243,3111,2037,319,165,25767,0.630379943,0.079054605,1397,337.3,453.12551,76.86194,2,61.8,346.3,88.6,58,3942.3,25.2,427.8,0.12,14.55,3.26,0.64,17.77,0.11,16.48,2.41,5.43,4.43,30.49,2.84,30.08,6.15,0.32,12.88,29.54,4.87,0.93,920.7,35.86,66.11949738,0.308535,23.30047851
10026,EAST,1,31,35,7,2,10,402,VOL,0,2000,17,2,840,130,49.597,20.604,0.415428353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20806,3213,2435,196,222,31449,0.661579065,0.077426945,NA,NA,505.35591,66.89134,2,0,150,32.4,43.4,2058.1,0,105,0,7.29,1.49,0.46,9.26,0,4.04,1.24,1.65,1.11,5.23,0.6,7.89,3,0,11.38,15.88,7.21,0.35,330.8,13.63,14.7,0.194309,18.88779151
10027,EAST,1,32,36,7,2,334,158,VOL,0,2000,17,2,640,117,53.912,21.514,0.399057724,30796,10764,3074.3,2012.9,687.4,55115,0.558758959,0.055779733,56.72,20.05,36.41,18923,4036,4192,1051,336,32724,0.578260604,0.128101699,1435,325.2,891.49333,193.47111,2,0,100.2,42.2,30,2014.8,0,172.6,0,5.83,1.91,0.26,9.05,0,6.51,1.14,2.39,1.48,5.47,0.57,6.99,1.07,0,2.8,8.48,2.04,0.17,345,14.68,14.9,0.16899,-19.26207989
10028,EAST,1,32,34,7,2,221,421,VOL,0,2000,17,2,800,99,40.713,16.473,0.404612777,35445,10649,5576.8,3159.9,913.5,65580,0.540484904,0.085038121,55.42,17.87,37.29,21061,3460,4221,779,320,34792,0.605340308,0.121320993,2122,526.2,781.40945,149.36182,2,0,481.6,45.1,56.2,3567.9,11.5,288.5,0,18.69,1.74,0.66,16.09,0.05,11.28,1.18,2.16,1.63,10.72,0.82,11.79,2.57,0,4.58,14.73,1.96,0.23,871.4,32.6,24.7,0.408284,11.78005816
10029,EAST,1,33,34,7,3,22,430,HTWD,0,2000,17,2,770,112,55.125,25.584,0.464108844,20947,4918,3131.2,1902.4,604.7,40225,0.520745805,0.077842138,58.22,20.52,37.38,21337,3853,4847,1326,401,36604,0.582914436,0.132417222,1420,361,990.93448,229.74828,2,72.9,735.4,254.5,127.7,4994.4,0,782.2,0.18,28.26,8.2,1.57,22.53,0,29.26,3.1,5.82,3.57,6.2,0.75,13.62,3.57,0,10.46,28.28,4.14,0.55,1899.8,67.84,25.78106522,0.139883,23.24581645
10030,EAST,1,36,33,7,3,779,421,VOL,0,2000,17,2,860,159,73.831,29.859,0.404423616,44628,11189,4670.3,4700.7,1296.5,83887,0.532001383,0.055673704,56.68,16.61,39.84,39384,7616,6348,2459,702,65339,0.602764046,0.097154839,3238,635.2,1791.56154,350.91314,2,0,121.5,28.2,48,1152.4,0,133.3,0,5.97,1.32,0.53,5.17,0,5.21,1.99,1.63,1.18,5.37,1.17,7.56,1.41,0,5.34,10.8,3.23,0.63,331,13.66,14.6,0.243994,18.25253103
