FID	IID	NOMISS	Fhat1	Fhat2	Fhat3	generation	HT_BLUP	type	line	total_mono	location	family
2645-46-S3	2645-46-S3	7863	0.455065	0.625699	0.581906	S3	-0.56	r	26_4	NA	S3_pots	26
2721-12-S3	2721-12-S3	6899	0.393546	0.81169	0.650089	S3	-0.61	s	27_2	NA	S3_pots	27
2923-12-S3	2923-12-S3	7918	0.340199	0.641678	0.532237	S3	-1.53	s	29_2	25000	S3_pots	29
2944-56-S3	2944-56-S3	7940	0.383015	0.716851	0.59118	S3	-2.16	r	29_4	34000	S3_pots	29
611-11-S3	611-11-S3	7770	0.555985	0.68635	0.663252	S3	0.14	s	6_1	25000	S3_pots	6
646-45-S3	646-45-S3	6744	0.2381	0.642432	0.487864	S3	-0.74	r	6_4	38000	S3_pots	6
721-21-S3	721-21-S3	7211	0.237433	0.636051	0.48209	S3	3.48	s	7_2	NA	S3_pots	7
745-44-S3	745-44-S3	7903	0.491909	0.741102	0.657882	S3	-3.47	r	7_4	31000	S3_pots	7
821-11-S3	821-11-S3	7841	0.463452	0.711572	0.62928	S3	0.71	s	8_2	45000	S3_pots	8
845-44-S3	845-44-S3	7843	0.449543	0.65137	0.592213	S3	-1.26	r	8_4	NA	S3_pots	8
